price,status,area,rate per sqft,property type,locality,builder name,rera approval,bhk_count,society,company name,flat type,price_tier,price_cr
19000000,ready to move,1995,9523,3 bhk apartment in pareena coban residences,sector 99a,shree krishna realteach,not approved by rera,3,pareena coban residences,pareena,apartment,value-mid,1.9
11000000,ready to move,1350,8148,3 bhk apartment in mapsko paradise,sector 83,vineet sharma,not approved by rera,3,mapsko paradise,mapsko,apartment,budget,1.1
13000000,ready to move,1550,8387,3 bhk independent floor in vatika india next,sector 82,vineet sharma,not approved by rera,3,vatika india next,vatika,floor,value-mid,1.3
22000000,ready to move,2430,9053,4 bhk independent floor,palam vihar,vineet sharma,not approved by rera,4,outside socity,outside,plot,value-mid,2.2
41000000,ready to move,3760,10904,5 bhk apartment in emaar palm terraces,sector 66,home,not approved by rera,5,emaar palm terraces,emaar,apartment,premium,4.1
17500000,ready to move,1187,14743,2 bhk apartment in emaar palm studios,sector 66,property in gurgaon,not approved by rera,2,emaar palm studios,emaar,apartment,value-mid,1.75
18500000,ready to move,1190,15546,2 bhk apartment in emaar palm studios,sector 66,properties for sale in gurgaon,not approved by rera,2,emaar palm studios,emaar,apartment,value-mid,1.85
25000000,ready to move,2160,11574,3 bhk independent floor,sector 45,silverkeys realestate,not approved by rera,3,outside socity,outside,plot,premium,2.5
34000000,ready to move,2410,14107,4 bhk apartment in emaar palm terraces,sector 66,silverkeys realestate,not approved by rera,4,emaar palm terraces,emaar,apartment,premium,3.4
5500000,ready to move,690,7971,2 bhk apartment in shree vardhman green court,sector 90,silverkeys realestate,not approved by rera,2,shree vardhman green court,shree,apartment,budget,0.55
8200000,ready to move,1075,7627,2 bhk apartment in orris carnation residency,sector 85,vikas chauhan,not approved by rera,2,orris carnation residency,orris,apartment,budget,0.82
8500000,ready to move,1075,7906,2 bhk apartment in orris carnation residency,sector 85,silverkeys realestate,not approved by rera,2,orris carnation residency,orris,apartment,budget,0.85
68000000,ready to move,3891,17476,4 bhk apartment in unitech heritage city,sector 25,jsr realtors,not approved by rera,4,unitech heritage city,unitech,apartment,ultra-luxury,6.8
52000000,ready to move,3280,15853,4 bhk apartment,sector 25,krishna properties,not approved by rera,4,outside socity,outside,plot,ultra-luxury,5.2
17000000,under construction,1750,9714,3 bhk independent floor,sector 57,city estates,not approved by rera,3,outside socity,outside,plot,value-mid,1.7
30000000,ready to move,1950,15384,3 bhk independent floor,dlf phase 2,global realty services,not approved by rera,3,outside socity,outside,plot,premium,3.0
95000000,ready to move,4300,22093,4 bhk independent floor in m3m golf estate,sector 65,global realty services,not approved by rera,4,m3m golf estate,m3m,floor,ultra-luxury,9.5
25000000,ready to move,1900,13157,3 bhk independent floor,dlf phase 2,banjara,not approved by rera,3,outside socity,outside,plot,premium,2.5
52300000,under construction,2850,18350,4 bhk apartment in ganga nandaka,sector 84,banjara,approved by rera,4,ganga nandaka,ganga,apartment,ultra-luxury,5.23
19700000,ready to move,1700,11596,3 bhk independent floor in anant raj the estate floors,sector 63,banjara,not approved by rera,3,anant raj the estate floors,anant,floor,value-mid,1.97
47100000,under construction,3300,14285,4 bhk apartment in navraj the antalya,sector 37d,banjara,approved by rera,4,navraj the antalya,navraj,apartment,ultra-luxury,4.71
22900000,ready to move,2550,8980,4 bhk independent floor in navraj the antalya,sector 37d,turnkey reality,not approved by rera,4,navraj the antalya,navraj,floor,premium,2.29
4800000,ready to move,675,7111,2 bhk apartment,sector 89a,home,not approved by rera,2,outside socity,outside,plot,budget,0.48
